mes;equipamento;faixa;data;hora;minutos_intervalo;qtd_0a10km;qtd_11a20km;qtd_21a30km;qtd_31a40km;qtd_41a50km;qtd_51a60km;qtd_61a70km;qtd_71a80km;qtd_81a90km;qtd_91a100km;qtd_acimade100km
6;"FS002REC";1;"2020-06-04";7;"0-15";5;14;1;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";7;"16-30";5;6;1;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";7;"31-45";4;20;0;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";7;"46-59";5;8;1;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";8;"0-15";8;16;1;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";8;"16-30";5;14;2;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";8;"31-45";2;22;1;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";8;"46-59";6;12;1;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";9;"0-15";2;17;0;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";9;"16-30";6;11;0;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";9;"31-45";3;12;4;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";9;"46-59";1;8;5;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";10;"0-15";0;14;13;6;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";10;"16-30";0;12;7;2;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";10;"31-45";0;11;9;2;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";10;"46-59";0;0;6;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";15;"46-59";0;0;0;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";16;"0-15";0;4;7;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";16;"16-30";0;5;5;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";16;"31-45";0;9;8;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";16;"46-59";1;5;15;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";17;"0-15";1;11;17;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";17;"16-30";1;5;7;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";17;"31-45";0;4;13;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";17;"46-59";0;2;8;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";18;"0-15";0;11;5;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";18;"16-30";0;5;3;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";18;"31-45";1;2;1;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";18;"46-59";0;4;2;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";19;"0-15";0;12;4;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";19;"16-30";0;2;3;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";19;"31-45";1;4;3;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";19;"46-59";0;3;2;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";20;"0-15";0;5;5;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";20;"16-30";1;2;2;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";20;"31-45";1;6;1;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-04";20;"46-59";0;1;0;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";5;"16-30";1;3;2;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";6;"16-30";0;7;1;2;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";6;"31-45";0;7;3;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";6;"46-59";0;19;4;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";7;"0-15";0;23;6;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";7;"16-30";0;20;7;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";7;"31-45";1;16;8;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";7;"46-59";0;13;7;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";8;"0-15";1;22;9;2;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";8;"16-30";0;19;11;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";8;"31-45";0;15;11;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";8;"46-59";1;22;8;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";9;"0-15";0;15;9;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";9;"16-30";0;16;10;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";9;"31-45";0;19;11;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";9;"46-59";1;13;9;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";10;"0-15";0;13;18;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";10;"16-30";1;14;18;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";10;"31-45";0;10;15;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";10;"46-59";1;9;10;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";11;"0-15";0;15;14;2;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";11;"16-30";1;16;10;3;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";11;"31-45";0;10;10;3;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";11;"46-59";0;4;11;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";12;"0-15";0;10;6;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";12;"16-30";0;14;12;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";12;"31-45";0;13;8;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";12;"46-59";0;8;8;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";13;"0-15";0;12;5;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";13;"16-30";0;17;7;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";13;"31-45";0;7;11;5;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";13;"46-59";0;8;12;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";14;"0-15";0;7;12;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";14;"16-30";2;13;4;2;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";14;"31-45";0;9;8;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";14;"46-59";0;13;11;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";15;"0-15";0;12;8;2;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";15;"16-30";0;16;13;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";15;"31-45";0;4;9;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";15;"46-59";0;3;9;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";16;"0-15";0;7;14;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";16;"16-30";0;6;8;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";16;"31-45";1;8;0;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";16;"46-59";0;4;8;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";17;"0-15";0;13;8;2;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";17;"16-30";0;8;9;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";17;"31-45";2;7;4;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";17;"46-59";0;9;4;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";18;"0-15";0;7;8;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";18;"16-30";0;5;8;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";18;"31-45";3;3;3;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";18;"46-59";0;4;4;3;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";19;"0-15";0;2;5;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";19;"16-30";0;5;4;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";19;"31-45";0;4;1;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";19;"46-59";0;4;2;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";20;"0-15";0;5;0;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";20;"16-30";0;5;3;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";20;"31-45";0;1;0;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-05";20;"46-59";0;3;0;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";5;"16-30";1;0;0;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";5;"31-45";0;0;1;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";5;"46-59";1;0;1;2;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";6;"16-30";0;0;2;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";6;"31-45";1;3;3;2;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";6;"46-59";0;1;2;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";7;"0-15";0;4;1;2;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";7;"16-30";1;2;4;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";7;"31-45";0;1;4;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";7;"46-59";0;2;6;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";8;"0-15";0;7;6;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";8;"16-30";0;7;7;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";8;"31-45";0;5;7;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";8;"46-59";0;7;5;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";9;"0-15";0;12;5;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";9;"16-30";0;3;3;2;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";9;"31-45";0;7;7;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";9;"46-59";1;3;4;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";10;"0-15";0;4;11;2;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";10;"16-30";1;5;7;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";10;"31-45";0;11;3;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";10;"46-59";1;2;5;2;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";11;"0-15";0;6;9;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";11;"16-30";1;3;8;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";11;"31-45";0;5;7;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";11;"46-59";1;4;4;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";12;"0-15";0;5;4;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";12;"16-30";1;2;4;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";12;"31-45";0;1;6;2;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";12;"46-59";0;1;4;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";13;"0-15";0;2;1;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";13;"16-30";0;8;2;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";13;"31-45";0;1;3;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";13;"46-59";1;0;4;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";14;"0-15";0;5;5;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";14;"16-30";0;1;1;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";14;"31-45";0;4;2;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";14;"46-59";0;1;1;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";15;"0-15";0;1;3;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";15;"16-30";2;3;1;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";15;"31-45";0;1;0;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";15;"46-59";0;0;2;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";16;"0-15";0;2;1;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";16;"16-30";0;4;2;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";16;"31-45";0;0;2;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";16;"46-59";1;1;3;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";17;"0-15";0;3;3;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";17;"16-30";1;3;1;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";17;"31-45";0;2;3;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";17;"46-59";0;1;1;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";18;"0-15";0;1;1;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";18;"16-30";0;0;1;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";18;"31-45";0;2;0;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";18;"46-59";0;1;1;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";19;"0-15";0;1;1;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";19;"16-30";1;0;1;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";19;"31-45";0;1;3;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";19;"46-59";0;1;3;1;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";20;"0-15";0;0;1;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";20;"16-30";1;3;5;4;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-06";20;"31-45";0;1;5;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-07";5;"31-45";0;1;0;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-07";6;"0-15";0;1;0;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-07";6;"16-30";1;2;0;0;0;0;0;0;0;0;0
6;"FS002REC";1;"2020-06-07";6;"31-45";0;2;1;0;0;0;0;0;0;0;0
